Topic,Count,Name,Representation,Representative_Docs,city_name
0,2147,0_police_looking_amsterdam_man,"['police', 'looking', 'amsterdam', 'man', 'witnesses', 'year', 'investigating', 'night', 'investigation', 'suspect']","['a stabbing incident took place in a house on the korte leidsedwarsstraat. one victim has been taken to hospital. one suspect has just been arrested by the police in the area. the detective is investigating.', ""the police are looking for witnesses to a shooting incident on cruquiusweg last saturday evening. several suspects attacked a -year-old man after which they took off with the victim's car. read the full post here:"", 'last night a stabbing incident took place on the bijlmerplein in amsterdam southeast. a -year-old man was injured. police are calling on witnesses to come forward.']",Amsterdam
1,778,1_images_wanted_arrested_robbery,"['images', 'wanted', 'arrested', 'robbery', 'options', 'suspects', 'investigative', 'sharing', 'witnesses', 'arrests']","['sharing images of suspects is a powerful investigative tool. the public prosecution service therefore generally requires the police to first explore all other options to get to the suspects, which means that it sometimes takes a long(er) time before images are released.', 'before we are allowed to share images externally, often first sets the condition that other investigative options must have run their course. the criminal investigation department has been busy with this in recent months, but unfortunately this did not lead to an identification [1/2].', 'before we are allowed to share images externally, often first sets the condition that other investigative options must have run their course. the criminal investigation department has been busy with this in recent months, but unfortunately this did not lead to an identification [1/2].']",Amsterdam
2,171,2_share_information_case_read,"['share', 'information', 'case', 'read', 'rr', 'colleagues', 'contact', 'view', 'hear', 'best']","['you can read or share information about this case here: .', 'read all the information quietly? view images of the suspect (moving and still) at your leisure? or share information digitally? you can do that here: .', 'you can read or share information about the case here: .']",Amsterdam
3,151,3_wanted_arrests_integral_home,"['wanted', 'arrests', 'integral', 'home', 'days', 'catch', 'witnesses', 'checks', 'blog', 'drill']","[""arrest during recording video clip 'drill rap'"", ""arrest when recording video clip 'drill rap' via /"", 'witnesses wanted after home robbery overtoom:']",Amsterdam
4,73,4_black_approach_dark_jacket,"['black', 'approach', 'dark', 'jacket', 'tinted', 'blue', 'gray', 'white', 'years', 'cap']","['amsterdam: ivm armed robbery omg admiraal d ruijterweg zkt pol pers. light dnkr tinted, black northface jacket, face mask, black pants. do not approach yourself, call', 'description suspect: man, tall, +/- years, light skin color, short gray pants, sports shoes and black gloves. do not approach yourself, but contact the police.', 'just now a robbery of a drugstore on the jan van galenstraat. the perpetrator fled on foot. description: li tinted man, about tall, about years old, brown hair, blue jacket/sweater, gray/blue pants, dark gray sneakers from the brand all star. do you see the man walking? do not approach yourself! call']",Amsterdam
0,625,0_don_going_let_know,"['don', 'going', 'let', 'know', 'remember', 'plan', 'life', 'pet', 'careful', 'drive']","[""don't end the party with a bad drink if you are going out to enjoy the night and you plan to drink, better use .for your safety and that of the rest.at the wheel alcohol drugs safety"", 'morning . remind you that this we are going to carry out breathalyzer controls, so you know, if you go out for lunch or dinner, with friends or co-workers , ""either you drink or you drive"" safety', 'remind you that both on eve and on we are going to carry out breathalyzer controls, so you know, if you go out for lunch or dinner, with friends, co-workers or family, , ""either you drink or you drive"" safety']",Madrid
1,547,1_vehicle_safety_use_pedestrian,"['vehicle', 'safety', 'use', 'pedestrian', 'speed', 'respect', 'distance', 'sidewalks', 'road', 'roads']","['is a simple and rewarding daily activity.if you need to get rid of furniture or other household objects that cannot be deposited in the usual containers on the street, here is the link to the collection points in .', 'is a simple and rewarding daily activity.if you need to get rid of furniture or other household objects that cannot be deposited in the usual containers on the street, here is the link to the collection points in .', 'is a simple and rewarding daily activity.if you need to get rid of furniture or other household objects that cannot be deposited in the usual containers on the street, here is the link to the collection points in .']",Madrid
2,362,2_agents_arrested_crime_health,"['agents', 'arrested', 'crime', 'health', 'individual', 'arrest', 'district', 'cocaine', 'seized', 'detain']","['three people arrested for a crime against public health.agents from surprised them ""red-handed"" when they were selling the .narcotic substances were seized in doses prepared for sale and a total of .', 'plainclothes agents from the district detain an individual for a crime against public health. the detainee was carrying various narcotic substances in small doses and cash divided into bills. security', 'two people arrested in the district for a crime against public health.agents of the central security unit, who were carrying out a vehicle control in the area, seized grams of cocaine and three mobile phones from the detainees.']",Madrid
3,318,3_training_police_work_project,"['training', 'police', 'work', 'project', 'unit', 'services', 'participated', 'madrid', 'service', 'units']","['the call signs , police officers from the night citizen protection unit, begin the service.they reinforce the presence and security throughout the city, supporting the units of the districts. your safety are for you', 'the call signs , police officers from the night citizen protection unit, begin the service.they reinforce the presence and security throughout the city, supporting the units of the districts. your safety are for you', 'the call signs , police officers from the night citizen protection unit, begin the service.they reinforce the presence and security throughout the city, supporting the units of the districts. your safety are for you']",Madrid
4,313,4_day_need_enjoy_night,"['day', 'need', 'enjoy', 'night', 'year', 'happy', 'shift', 'ensure', 'morning', 'hours']","[""morning . although it's cold, it's a beautiful day to enjoy . bundle up and go for a walk.we will ensure your hours a day.if you need us you know: are for you"", 'tonight, like every night, we will patrol to ensure your . municipal police: whenever. anywhere. we are with you. if you need us, you know days hours', 'tonight, like all of us, we will patrol to ensure your .whenever. anywhere. are with you.if you need us, you know: days a year and hours a day. we never ""close"". are for you']",Madrid
5,274,5_madrid_del_died_la,"['madrid', 'del', 'died', 'la', 'plaza', 'san', 'police', 'patron', 'duty', 'municipal']","[""i traffic cuts begin on the occasion of the women's race with a route: serrano, alfonso xii, carlos v, pso del prado, cibeles, coln, gnova, a. aguilera, m. urquijo, and final in pso camoens. for more information"", 'remember that on sundays, the paseo del prado is closed to traffic in the plaza de coln direction from the glorieta del emperador carlos v to the plaza de cibeles so that pedestrians can enjoy this emblematic space of , come by https ://', 'we remind you that traffic is closed on the occasion of the and until the end of the event, pza. de coln, p. de recoletos, pza. de cibeles, alcal, gran va, pza. de callao, p. del prado, plaza de cnovas del castillo and the glorieta del emperador carlos v.']",Madrid
6,242,6_campaign_vehicles_control_surveillance,"['campaign', 'vehicles', 'control', 'surveillance', 'transport', 'objective', 'food', 'rate', 'facilitate', 'consensual']","['. we start the week with a new campaign for surveillance and control of bicycles and urban mobility vehicles.objective: reduce the accident rate both in , users and . safety', '. we start the week with a new campaign for surveillance and control of bicycles and urban mobility vehicles.objective: reduce the accident rate both in cyclists, users and . safety', '. we start the week with a new campaign to monitor and control bicycles and urban mobility vehicles.objective: to reduce the accident rate, both in cyclists, vmu users and pedestrians.']",Madrid
7,220,7_aggression_protection_abuse_minors,"['aggression', 'protection', 'abuse', 'minors', 'specialized', 'support', 'trace', 'women', 'victim', 'help']","['hate crimes are those in which the person carrying out the aggression chooses the victim based on their sexual orientation, gender identity, sex, social exclusion, ideology, origin, disability or illness.report / delitosdeodio.es', 'hate crimes are those in which the person carrying out the aggression chooses the victim based on their sexual orientation, gender identity, sex, social exclusion, ideology, origin, disability or illness.report / delitosdeodio.es', 'hate crimes are those in which the person carrying out the aggression chooses the victim based on their sexual orientation, gender identity, sex, social exclusion, ideology, origin, disability or illness.report / delitosdeodio.es']",Madrid
8,193,8_30_00_restrictions_stadium,"['30', '00', 'restrictions', 'stadium', 'parking', 'game', 'cuts', 'miss', 'match', 'santiago']","[""tonight we have a match at the santiago bernabeu at :00 p.m.remember: road traffic cuts and parking restrictions in the area of influence of the stadium.don't miss the kick off, leave the car at home, use ."", ""tonight we have a match at the santiago bernabeu at :00 p.m.remember: road traffic cuts and parking restrictions in the area of influence of the stadium.don't miss the kick off, leave the car at home, use ."", ""tonight we have a game at the santiago bernabeu at :00 p.m.remember: road traffic cuts and parking restrictions in the area of influence of the stadium.don't miss the kick off, leave the car at home, use .""]",Madrid
9,176,9_prompt_rt_location_essential,"['prompt', 'rt', 'location', 'essential', '092112', 'disappeared', 'note', 'missing', 'notice', 'recommend']","['disappeared in . your rt may be essential for its prompt location.092112', 'disappeared in . your rt may be essential for its prompt location.092112', 'disappeared in . your rt may be essential for its prompt location.092112']",Madrid
10,140,10_00_adverse_parks_marked,"['00', 'adverse', 'parks', 'marked', 'weather', 'conditions', 'areas', 'maintain', 'alert', 'activated']","['this thursday, may from :00 p.m. to :00 a.m., the orange alert is activated due to adverse weather conditions according to forecasts by . el retiro and eight other city parks will maintain marked areas.', 'this friday, november , from :00 a.m. to :00 p.m., the yellow alert is activated due to adverse weather conditions according to forecasts by . el retiro and eight other city parks will maintain marked areas', 'this friday, may , from :00 p.m. to :00 p.m., the yellow alert is activated due to adverse weather conditions according to forecasts by . el retiro and eight other city parks will maintain marked areas.']",Madrid
11,118,11_disposal_shift_congratulations_add,"['disposal', 'shift', 'congratulations', 'add', 'begins', 'watching', 'good', 'night', 'tooyou', '24congratulations']","[""confirms rain on . did he catch you without checking your tires, your windshield wipers, your lights...? don't play it. safety://"", ', the night shift at your disposal.092', ""confirms rain for . did he catch you without checking your tires, your windshield wipers, your lights...? don't play it, you're still on time. ://""]",Madrid
0,1536,0_arrested_man_old_officers,"['arrested', 'man', 'old', 'officers', 'drunk', 'police', 'young', 'read', 'year', 'driver']","['municipal police officers catch three men with illegal cigarettes and alcoholread more:', 'police officers separate a three-year-old boy from his heavily intoxicated motherread more:', 'municipal police officers find two wanted men in the center of rigaread more:']",Riga
1,1184,1_case_violation_riga_calls,"['case', 'violation', 'riga', 'calls', 'time', 'information', 'work', 'received', 'public', 'police']","[""in this case, three infringement processes have been initiated:- about the violation of the freedom monument and the riga brothers' graves law (fireworks at the monument)- on the use of glorifying symbols of military aggression and war crimes in a public place (video publication)- consumption of alcohol at the scene"", ""in this case, three infringement processes have been initiated:- about the violation of the freedom monument and the riga brothers' graves law (fireworks at the monument)- on the use of glorifying symbols of military aggression and war crimes in a public place (video publication)- alcohol consumption at the scene"", ""in this case, three infringement processes have been initiated:- about the violation of the freedom monument and the riga brothers' graves law (fireworks at the monument)- on the use of glorifying symbols of military aggression and war crimes in a public place (video publication)- consumption of alcohol at the scene""]",Riga
2,195,2_app_thank_twitter_send,"['app', 'thank', 'twitter', 'send', 'mobile', 'invite', 'hello', 'report', 'application', 'violations']","['if you notice violations, please call or use the mobile app we do not monitor twitter /7. thank you!', 'if you notice violations, please call or use the mobile app we do not monitor twitter /7. thank you!', 'if you notice violations, please call or use the mobile app we do not monitor twitter /7. thank you!']",Riga
3,136,3_called_noticed_persons_came,"['called', 'noticed', 'persons', 'came', 'invented', 'photographer', 'went', 'victory', 'context', 'said']","['last night rpp employees noticed suspicious persons near the so-called ""victory"" monument. went over to find out what they were doing.one of these persons called the police and said that he wanted to take a picture. that\'s how this photo came about - taken out of context and with a message invented by the photographer.', 'last night rpp employees noticed suspicious persons near the so-called ""victory"" monument. went over to find out what they were doing.one of these persons called the police and said that he wanted to take a picture. that\'s how this photo came about - taken out of context and with a message invented by the photographer.', 'last night rpp employees noticed suspicious persons near the so-called ""victory"" monument. went over to find out what they were doing.one of these persons called the police and said that he wanted to take a picture. that\'s how this photo came about - taken out of context and with a message invented by the photographer.']",Riga
4,105,4_let_picture_answer_thanks,"['let', 'picture', 'answer', 'thanks', 'nice', 'comment', 'check', 'yes', 'happy', 'tonight']","[""thanks, let's react!"", 'later the crew returned and the protocol was drawn up anyway.', ""let's send a dm because you can write longer there.""]",Riga
5,56,5_premises_procedural_actions_person,"['premises', 'procedural', 'actions', 'person', 'brought', 'detained', 'rpp', 'taken', 'arrested', 'territorial']","['the person was detained and brought to the rpp premises for further procedural actions.', 'the person was detained and brought to the rpp premises for further procedural actions.', 'the person was detained and brought to the rpp premises for further procedural actions.']",Riga
0,1181,0_drunk_driving_neck_accident,"['drunk', 'driving', 'neck', 'accident', 'personal', 'injury', 'huddinge', 'traffic', 'jrflla', 'solna']","['november :12, traffic accident, personal injury, sterker', 'january :41, traffic accident, personal injury, huddinge', 'october :20, traffic accident, personal injury, neck']",Stockholm
1,1165,1_mishandel_brand_stockholm_updated,"['mishandel', 'brand', 'stockholm', 'updated', 'stld', 'rn', 'december', 'county', 'november', 'august']","['updated -08-19 :57:37 august :31, fire, stockholm county', 'updated -05-08 :49:55 may :51, brand, stockholm', 'updated -08-30 :29:51 august :01, brand, stockholm']",Stockholm
2,369,2_sdertlje_fylleri_lob_sigtuna,"['sdertlje', 'fylleri', 'lob', 'sigtuna', 'norrtlje', 'trafikkontroll', 'vapenlagen', 'botkyrka', 'knivlagen', 'sollentuna']","['august :40, fylleri/lob, sdertlje', 'april :16, fylleri/lob, norrtlje', 'august :00, fylleri/lob, sdertlje']",Stockholm
3,303,3_february_offence_rn_botkyrka,"['february', 'offence', 'rn', 'botkyrka', 'robbery', 'huddinge', 'theft', 'burglary', '22', 'violation']","['february :33, theft/burglary, stockholm', 'february :46, traffic offence, huddinge', 'february :22, theft/burglary, stockholm']",Stockholm
4,271,4_murder_attempt_official_burglary,"['murder', 'attempt', 'official', 'burglary', 'violence', 'manslaughter', 'theft', 'homicide', 'threats', 'outrage']","['october :13, murder/manslaughter, attempt, stockholm', 'october :04, murder/manslaughter, attempt, stockholm', 'march :41, murder/manslaughter, attempt, stockholm']",Stockholm
5,251,5_september_protection_morality_solna,"['september', 'protection', 'morality', 'solna', 'illegal', 'driving', '11', 'abuse', 'vallentuna', 'drunk']","['september :16, drunk driving, haninge', 'september :09, drunk driving, solna', 'september :11, drunk driving, sigtuna']",Stockholm
6,134,6_people_camera_police_surveillance,"['people', 'camera', 'police', 'surveillance', 'prison', 'crimes', 'region', 'man', 'arrested', 'sentenced']","['decision on camera surveillance through uas in the stockholm region', 'man sentenced to years in prison for aggravated pimping', 'police action against people suspected of child pornography crimes']",Stockholm
7,122,7_fylleri_lob_knivlagen_hleri,"['fylleri', 'lob', 'knivlagen', 'hleri', 'ordningslagen', 'trafikkontroll', 'july', '40', 'stockholm', 'april']","['july :02, fylleri/lob, stockholm', 'april :02, fylleri/lob, stockholm', 'april :40, fylleri/lob, stockholm']",Stockholm
8,111,8_control_person_vehicle_31,"['control', 'person', 'vehicle', '31', 'february', 'identity', 'established', 'january', '41', 'october']","['february :15, control person/vehicle, stockholm', 'february :16, control person/vehicle, stockholm', 'january :16, control person/vehicle, stockholm']",Stockholm
0,2546,0_today_area_currently_amp,"['today', 'area', 'currently', 'amp', 'bomb', 'traffic', 'people', 'km', 'colleagues', 'war']","['the evacuation is complete our colleagues are starting now to defuse the war ii bomb in .we thank all those affected for their understanding and will contact us when the defusing is complete.', 'a meeting with around participants is currently taking place on the square of march in . our college. are on site and use loudspeaker announcements to point out the applicable covid19 regulations, as many do not comply with them there.', 'in order to give the operations management a general overview of the restricted area, our police helicopter is also temporarily supporting the barrier measures in . war bomb']",Berlin
1,1794,1_old_year_man_yesterday,"['old', 'year', 'man', 'yesterday', 'car', 'injured', 'said', 'tsm', 'arrested', 'driver']","['yesterday were college. called to because of a drunk man on the road. there they met a -year-old who insulted them &amp; tried to hit. when he was arrested, he bit a colleague in the leg. he came to the hospital for treatment.^tsm', 'of is looking for photos for a man who is said to have attacked a woman in with a knife on january th, and thereby seriously injured her.photos &amp; pm: to (030) ^tsm', 'young people are said to have pushed a man off his bike in yesterday &amp; threatened him with a knife. they fled as a civil college. of the rushed to help. shortly thereafter, a -year-old was arrested. later a j. voluntarily.^tsm']",Berlin
2,585,2_good_don_time_today,"['good', 'don', 'time', 'today', 'home', 'want', 'wish', 'll', 'day', 'say']","['with festive greetings from our helicopter squadron, we say goodbye to and wish you and your loved ones happy holidays!if the days are really important, we will of course contact you here. otherwise not ^tsm', 'good morning berlin. we join and wish you all a nice . even in these times, think of your loved ones, whom you can unfortunately only see from afar this year, stay healthy &amp; .', ""the game is over. the wins today's against and takes the points to - congratulations.we say goodbye to here &amp; wish all stadium visitors a safe journey home and a nice weekend.""]",Berlin
3,458,3_doesn_shoot_want_people,"['doesn', 'shoot', 'want', 'people', 'yes', 'play', 'supposed', 'party', 'just', 'tsm']","[""we drive to the : in an office in , a man doesn't want to leave an office."", ""ailurophobia in .a man doesn't want a cat sitting on his balcony...."", ""flashing blue lights, heli, dogs, spray paint... children's eyes lit up everywhere. for the th we really can't complain about the good mood.""]",Berlin
4,457,4_investigations_warrants_suspects_arrest,"['investigations', 'warrants', 'suspects', 'arrest', 'prosecutor', 'suspicion', 'criminal', 'berlin', 'office', 'public']","['as of :50 p.m., a total of people have been arrested.including violations of the infection protection ordinance &amp; criminal offenses such as: physical attacks on the emergency services, resistance against law enforcement officers and attempted prisoner release.', 'suspicion of drug trafficking with tons of narcotics: arrest warrants and search warrants executed by the berlin-brandenburg customs investigation office on behalf of the berlin public prosecutor.', ': at the request of the prosecutors office in berlin, a -year-old man who is said to have thrown stones at police officersat the request of the berlin public prosecutor, an arrest warrant has been issued against a -year-old man who is said to have thrown stones at police officers and he is in custody for serious breach of the peace, assault on law enforcement officers and attempted bodily harm.']",Berlin
5,446,5_caller_car_apartment_woman,"['caller', 'car', 'apartment', 'woman', 'man', 'parked', 'parking', 'accident', 'sidewalk', 'loud']","[""what our so soberly describes as a danger point is a large dog in the stairwell on the nd floor in - probably a husky crossbreed - and he won't let the caller into his apartment."", 'in , a caller reports that he hit a parked car.', 'in , a caller saw a man enter a ground floor apartment via a balcony and shortly afterwards come out with a bag.']",Berlin
6,436,6_information_identified_tsm_yes,"['information', 'identified', 'tsm', 'yes', 'available', 'currently', 'support', 'link', 'demo', 'tweet']","['our press office is in voltairestr. available for press information. war ii bomb', 'a team from our office is also on duty for you today and is currently available at rosa-luxemburg-platz for media information.', 'hello , today is derby time and we are with about colleagues &amp; colleagues around in action.please also note the current traffic reports from .']",Berlin
7,191,7_str_allee_damm_danziger,"['str', 'allee', 'damm', 'danziger', 'prenzlauer', 'strae', 'hohenzollerndamm', 'line', 'tempelhofer', 'eberswalder']","['also blocked are:ernst-reuter-platz/hardenbergstr.dominicusstr./hauptstr.frankfurter allee/pettenkofer str.schnhauser allee/eberswalder str.greifswalder str./danziger str.forces are on site or on the way.please keep calm &amp; do not intervene yourself.', 'current overview hohenzollerndamm mhlendamm bridge/breite str.konstanzer str./berliner str.tempelhofer damm/hoeppnerstr.hauptstr./dominicusstr.bab spandau dampuschkinallee/treptower parkschnhauser allee/eberswalder str.', 'current blockages: hohenzollerndamm/rudolstdter str. dominicus str./ebersstr. frankfurter allee/pettenkofer str. spandau dam/charlottenburg palace mllerstr./fennstr. schnhauser allee/eberswalder str. danziger str./greifswalder str.']",Berlin
0,2768,0_police_arrested_old_year,"['police', 'arrested', 'old', 'year', 'state', 'station', 'agents', 'drug', 'people', 'rome']","['found in possession of grams of heroin, b.m. years old, with a police record, was arrested by agents of the porta maggiore and torpignattara police station. he will have to answer for detention for the purpose of drug dealing.', '. paul. -year-old foreigner stopped for a check by staff in the , he was found in possession of almost grams of cocaine divided into wrappers and euros. the man was arrested for possession for the purpose of drug dealing.', 'controlled in via di portonaccio by agents of the state police of the flying department and of the torpignattara and porta maggiore police stations. the man, i.o., a -year-old foreigner, who was found in possession of kg. of marijuana hidden in a trolley, was arrested.']",Roma
1,2310,1_slowed_traffic_possible_di,"['slowed', 'traffic', 'possible', 'di', 'section', 'height', 'slowdowns', 'viale', 'della', 'del']","["": a90 grande raccordo anulare di roma - section closed due to works in the section between sant'andrea hospital and castel giubileo in the internal direction from :00 on december until :00 on december"", 'galleria giovanni xxiii, from pm today to am on february , closure to vehicular transit, for extraordinary cleaning work, from via della pineta sacchetti to via del foro italico in the direction of via salaria.', '- tangenziale est - from pm today until am on june : transit ban in the pm / am time slot, due to maintenance work, in the section between via nomentana and via del foro italico in the direction of galleria giovanni xxiii']",Roma
2,389,2_height_di_viale_largo,"['height', 'di', 'viale', 'largo', 'piazza', 'accident', 'della', 'vittorio', 'delle', 'piazzale']","[""- piazzale degli eroi - at viale delle medaglie d'oro"", '- viale guglielmo marconi - at via enrico dal pozzo height', '- via del foro italico - at viale di tor di quinto towards via salaria']",Roma
3,250,3_happens_happening_service_00,"['happens', 'happening', 'service', '00', 'told', 'week', 'transitability', 'credit', 'july', 'november']","['of the in a .00 service on , november ...', 'of the in a .00 service on , november ,', 'of the in a .00 service on , november ,']",Roma
4,216,4_reopening_details_credit_june,"['reopening', 'details', 'credit', 'june', 'november', 'april', 'review', 'roma', 'del', '']","['reopening', 'reopening', 'reopening']",Roma
5,154,5_emergencies_urgencies_policy_media,"['emergencies', 'urgencies', 'policy', 'media', 'information', 'contacts', 'good', 'social', 'offices', 'morning']","['good morning from ! for urgencies/emergencies for more information our social media policy: report with sus service: offices and contacts:', 'good morning from ! for urgencies/emergencies for more information our social media policy: report with sus service: offices and contacts:', 'good morning from ! for urgencies/emergencies for more information our social media policy: report with sus service: offices and contacts:']",Roma
6,144,6_review_rome_december_november,"['review', 'rome', 'december', 'november', 'july', 'october', 'january', 'april', 'february', 'june']","['review of december review of the rome', 'review of december review of the rome', 'review of december review of the rome']",Roma
7,61,7_posted_facebook_video_instructions,"['posted', 'facebook', 'video', 'instructions', 'share', 'read', 'new', 'photo', 'difference', 'threating']","['i posted a new video to facebook', 'i posted a new video to facebook', 'i posted a new video to facebook']",Roma
0,374,0_series_language_don_perplexed,"['series', 'language', 'don', 'perplexed', 'ingrained', 'abbreviations', 'want', 'change', 'leaving', 'terms']","['police language is full of technical terms and abbreviations. these are so ingrained within us that we sometimes use them here, leaving people perplexed. we want to change that in our series. today: our good spirits at the pi.', 'police language is full of technical terms and abbreviations. these are so ingrained within us that we sometimes use them here, leaving people perplexed. our series aims to change this. today: things we take away from you.', 'police language is full of technical terms and abbreviations. these are so ingrained within us that we sometimes use them here, leaving people perplexed. we want to change that in our series. today: always there even after christmas: the']",Vienna
1,373,1_way_rescue_accident_julius,"['way', 'rescue', 'accident', 'julius', 'apartment', 'viktor', 'emil', 'theodor', 'anton', 'care']","['there was an accident at work in . the viktor/3 drives to the rescue team to help the person.', 'in an accident in an apartment is feared. emil/1 is on the road with the rescue service and the fire brigade.', 'in , people were injured in a traffic accident. ludwig/6 and the rescue service are on their way.']",Vienna
2,348,2_don_yes_exactly_mean,"['don', 'yes', 'exactly', 'mean', 'just', 'know', 'ok', 've', 'click', 'tweet']","[""just because you don't see the penalties doesn't mean they don't exist."", ""julius/6 doesn't yet know exactly what to expect in because the prompter on the phone wasn't really audible."", ""sorry, we don't really know what you mean.""]",Vienna
3,336,3_operations_warn_density_comment,"['operations', 'warn', 'density', 'comment', 'danger', 'unfortunately', 'hazard', 'individual', 'provide', 'information']","['due to the high density of operations, we cannot comment on individual operations here. should there be a hazard in the area, however, our colleagues on site or we would warn you here if necessary.', 'due to the density of operations, we are unfortunately unable to provide any information on individual operations. if there was danger, we would warn here or our colleagues on site.', 'unfortunately, due to the high density of operations, we cannot comment on individual operations. in the event of a hazard in the area, however, we would warn here or on site.']",Vienna
4,325,4_alarm_ludwig_noise_paula,"['alarm', 'ludwig', 'noise', 'paula', 'ulrich', 'heinrich', 'otto', 'wilhelm', 'caesar', 'theodor']","['acoustic alarm triggering in . caesar/1 drives up and checks it out.', 'in , party noise keeps residents from sleeping. ludwig/4 takes on the role of killjoy and ensures peace and quiet.', 'in , ludwig/1.4 and wilhelm/3 are on the way to triggering an alarm.']",Vienna
5,319,5_assembly_law_act_criminal,"['assembly', 'law', 'act', 'criminal', 'provisions', 'legal', 'powers', 'basis', 'sta', 'protection']","['a search for the public may only be carried out by order of the sta. prior to this, all the powers provided for, which are less intrusive, must be exhausted. therefore, there may be a later publication.', 'a public search may only be carried out by order of the sta. prior to this, all the powers provided for, which are less intrusive, must be exhausted. therefore, there may be a later publication.', 'a public search may only be carried out by order of the sta. prior to this, all the powers provided for, which are less intrusive, must be exhausted. therefore, there may be a later publication.']",Vienna
6,307,6_unfortunately_missions_legal_provide,"['unfortunately', 'missions', 'legal', 'provide', 'information', 'dragonfly', 'stgb', 'responsibility', 'facts', 'tactical']","['even this simple solution is obviously rejected by some journalists, although we regularly provide information and seek personal contact. /2', 'even this simple solution is obviously rejected by some journalists, although we regularly provide information and seek personal contact. /2', 'even this simple solution is obviously rejected by some journalists, although we provide regular information and seek personal contact. /2']",Vienna
7,287,7_area_traffic_forces_blockades,"['area', 'traffic', 'forces', 'blockades', 'climate', 'activists', 'road', 'increased', 'city', 'wienzeile']","['there are blockades by climate activists in the area of the and the . we are working with increased forces to be able to lift the temporary traffic closures as quickly as possible.', 'there is a blockade action by climate activists in the area. we are working with increased forces to be able to lift the temporary traffic closures as quickly as possible.', 'in the area of the reichsbrcke there is currently a blockade by climate activists - please drive around the area extensively. we are working with increased forces to be able to lift the temporary traffic closures as quickly as possible.']",Vienna
8,276,8_old_releases_year_man,"['old', 'releases', 'year', 'man', 'arrested', 'amp', 'arrest', 'unknown', 'suspect', 'injured']","['search: two previously unknown youths robbed a -year-old. in the area of a shopping center in his shoulder bag &amp; carried cash. who can provide relevant information? the link to the manhunt pictures is in the comments:', 'search: a man is said to have attacked a -year-old from behind and caused her to fall. the perpetrator snatched the handbag from the woman lying on the ground &amp; fled. the woman was seriously injured. for the mug shots:', 'search: a previously unknown man violently stole the handbag of a -year-old and then removed from the stolen atm card. who can provide relevant information on identity? mug shots']",Vienna
9,257,9_gladly_searched_love_yes,"['gladly', 'searched', 'love', 'yes', 'gerne', 'thank', 'glad', 'genau', 'learned', 'transposed']","['gladly.', 'gladly.', 'yes, there is. and gladly!']",Vienna
10,245,10_contact_station_gv_send,"['contact', 'station', 'gv', 'send', 'polizei', 'directly', 'wien', 'investigate', 'report', 'police']","['if you would like to report the incident, please send us an email with all the facts (date, time, location, etc.) to polizei-info-wien.gv.at so that we can investigate.', 'if you would like to report such an incident, then either contact our colleagues directly via so that they can send a radio truck over &amp; if necessary, be able to file a complaint or to the nearest police station.', 'you can send us an email with all the facts (time, date, location of the incident and the police station etc.) to polizei-info-wien.gv.at so that we can investigate.']",Vienna
11,144,11_number_click_report_pol,"['number', 'click', 'report', 'pol', 'thread', 'link', 'phone', 'regarding', 'block', 'intervention']","[""please don't click any links, block the number and report it here:"", 'please do not click any links, block the number and report here:', 'please do not click the link, block and report number here please:']",Vienna
12,143,12_forwarded_stopped_prohibition_progress,"['forwarded', 'stopped', 'prohibition', 'progress', 'responsible', 'incident', 'reported', 'disciplinary', 'investigations', 'person']","['the video is already known to us and has been secured for review and forwarded for legal and disciplinary assessment.', 'the video is known to us and has been secured for review and forwarded for legal and disciplinary assessment.', 'the video is already known to us and has been secured for review and forwarded for legal and disciplinary assessment.']",Vienna
13,91,13_thanks_tip_thank_ll,"['thanks', 'tip', 'thank', 'll', 'look', 'feedback', 'words', 'kind', 'hint', 'happy']","[""thanks for the tip, we'll take a look."", ""thanks for the tip, we'll look into that."", ""thanks for the tip, we'll look into that.""]",Vienna
0,548,0_accident_way_lane_e18,"['accident', 'way', 'lane', 'e18', 'traffic', 'cars', 'inbound', 'exit', 'truck', 'damage']","['the emergency services are on their way to a traffic accident on the inbound at the approach from abilds. a car has driven off the road and into a lamppost on the right. unknown extent of damage to the driver. traffic passes in one lane until further notice.', 'e6 exiting karihaugen. traffic accident / single accident. a car that has spun and driven into the guardrail. must not be personal injury. left field blocked. the emergency services are on their way.', 'the emergency services are on their way to the e6 inbound before furuset after reports of a traffic accident involving several cars. traffic passes in one lane until further notice. unknown extent of damage.']",Oslo
1,428,1_ambulance_scene_cyclist_accident,"['ambulance', 'scene', 'cyclist', 'accident', 'room', 'pain', 'taken', 'involved', 'hit', 'injured']","['police and ambulance on site. cyclist does not appear seriously injured. being checked by paramedics now. the car involved has driven from the scene.', 'the emergency services have finished on the scene and the road has been reopened. this was a hit-and-run accident and two people have been taken to okl for a further check, but should not be seriously injured. the police are investigating the accident.', 'we are on site. material damage to two cars. a total of people involved. one of these is slightly injured and is taken to the emergency room by ambulance. we are investigating the cause of the accident.']",Oslo
